id,name,latitude,longitude,timestamp,free_bikes,empty_slots,extra,total_bikes
257715b845828e027ff35dd0f11c971e,Richards & Cordova,49.284554,-123.111031,2024-12-18T07:00:34.905488Z,16,0,"{'uid': '0124', 'renting': True, 'returning': True, 'last_updated': 1734504991, 'slots': 16, 'normal_bikes': 12, 'ebikes': 4, 'has_ebikes': True}",16
261efc67071963969b3f848c66454d97,Orchard Commons,49.259999,-123.250902,2024-12-18T07:00:35.009684Z,9,17,"{'uid': '2116', 'renting': True, 'returning': True, 'last_updated': 1734503774, 'slots': 26, 'normal_bikes': 8, 'ebikes': 1, 'has_ebikes': True}",26
26555ebe3663991da07220d12b0f054a,Strangway Building,49.2661,-123.24568,2024-12-18T07:00:35.042648Z,12,12,"{'uid': '2154', 'renting': True, 'returning': True, 'last_updated': 1734504988, 'slots': 24, 'normal_bikes': 5, 'ebikes': 7, 'has_ebikes': True}",24
2681455ba2d97283998a806b14d3e95c,Yew & Broadway,49.263523,-123.155267,2024-12-18T07:00:35.008454Z,8,10,"{'uid': '0484', 'renting': True, 'returning': True, 'last_updated': 1734505070, 'slots': 18, 'normal_bikes': 3, 'ebikes': 5, 'has_ebikes': True}",18
277b4b4881bdb7dac73012672179def8,Woodland & 10th,49.261263,-123.073707,2024-12-18T07:00:34.930670Z,10,4,"{'uid': '0245', 'renting': True, 'returning': True, 'last_updated': 1734505189, 'slots': 14, 'normal_bikes': 10, 'ebikes': 0, 'has_ebikes': True}",14
2781435bde344e1b64f1bebac6bc9008,Ontario & 16th,49.256825,-123.105234,2024-12-18T07:00:34.905677Z,6,8,"{'uid': '0133', 'renting': True, 'returning': True, 'last_updated': 1734505196, 'slots': 14, 'normal_bikes': 5, 'ebikes': 1, 'has_ebikes': True}",14
2ca388bba54706770900ca2a9d7aa5be,14th & Alder,49.258819,-123.131317,2024-12-18T07:00:34.925147Z,4,10,"{'uid': '0211', 'renting': True, 'returning': True, 'last_updated': 1734505082, 'slots': 14, 'normal_bikes': 2, 'ebikes': 2, 'has_ebikes': True}",14
2f09a64507cf6257c67ca20af27339eb,Chestnut & McNicoll,49.275938,-123.145939,2024-12-18T07:00:34.923490Z,5,11,"{'uid': '0147', 'renting': True, 'returning': True, 'last_updated': 1734504733, 'slots': 16, 'normal_bikes': 4, 'ebikes': 1, 'has_ebikes': True}",16
2ff7eb4230654603592ab1b0780ec5e1,Dunbar & 6th,49.266636,-123.183661,2024-12-18T07:00:35.007415Z,3,12,"{'uid': '0414', 'renting': True, 'returning': True, 'last_updated': 1734504865, 'slots': 16, 'normal_bikes': 3, 'ebikes': 0, 'has_ebikes': True}",15
30bf49544b1c864688b78172d42cca5e,Stanley Park - Vancouver Aquarium,49.299292,-123.130281,2024-12-18T07:00:34.890932Z,2,14,"{'uid': '0101', 'renting': True, 'returning': True, 'last_updated': 1734504655, 'slots': 17, 'normal_bikes': 2, 'ebikes': 0, 'has_ebikes': True}",16
32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,49.274566,-123.121817,2024-12-18T07:00:34.859255Z,8,8,"{'uid': '0004', 'renting': True, 'returning': True, 'last_updated': 1734505122, 'slots': 16, 'normal_bikes': 8, 'ebikes': 0, 'has_ebikes': True}",16
32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,49.282503,-123.124697,2024-12-18T07:00:34.925322Z,5,11,"{'uid': '0217', 'renting': True, 'returning': True, 'last_updated': 1734505029, 'slots': 18, 'normal_bikes': 0, 'ebikes': 5, 'has_ebikes': True}",16
3367c1e1dbf73caf7c10e4c96a92f58d,Abbott & Cordova,49.282759,-123.106955,2024-12-18T07:00:34.860480Z,8,13,"{'uid': '0030', 'renting': True, 'returning': True, 'last_updated': 1734504813, 'slots': 22, 'normal_bikes': 7, 'ebikes': 1, 'has_ebikes': True}",21
34fd37d12eb989b49518ef53941ee3ff,Sasamat & 10th,49.264019,-123.209176,2024-12-18T07:00:35.009575Z,14,8,"{'uid': '0716', 'renting': True, 'returning': True, 'last_updated': 1734504877, 'slots': 22, 'normal_bikes': 9, 'ebikes': 5, 'has_ebikes': True}",22
3596b4831ee2ea7812de753b32306835,Vine & 4th,49.268339,-123.157443,2024-12-18T07:00:34.923782Z,3,15,"{'uid': '0159', 'renting': True, 'returning': True, 'last_updated': 1734503653, 'slots': 18, 'normal_bikes': 1, 'ebikes': 2, 'has_ebikes': True}",18
35eb539fb9298bb7e4f6759ca0256505,10th & Ontario,49.262062,-123.104656,2024-12-18T07:00:34.924144Z,8,12,"{'uid': '0176', 'renting': True, 'returning': True, 'last_updated': 1734504745, 'slots': 20, 'normal_bikes': 2, 'ebikes': 6, 'has_ebikes': True}",20
365da33e9ce06ea53db1173a0f8eae71,Pine & 10th,49.262822,-123.14338,2024-12-18T07:00:34.924897Z,5,15,"{'uid': '0205', 'renting': True, 'returning': True, 'last_updated': 1734504964, 'slots': 20, 'normal_bikes': 5, 'ebikes': 0, 'has_ebikes': True}",20
